"Variavel";"Significado";"Tipo"
"GENDER";"Indica o genêro do paciente";"Nominal"
"AGE";"Indica a idade do paciente";"Discreta"
"SMOKING";"Indica se o paciente é fumante";"Nominal"
"YELLOW_FINGERS";"Indica se o paciente possui as extremidades do corpo amareladas";"Nominal"
"ANXIETY";"Indica se o paciente apresenta sinais de transtorno de ansiedade";"Nominal"
"PEER_PRESSURE";"Indica se o paciente, por volta da adolescencia, foi influenciado a fumar";"Nominal"
"CHRONIC DISEASE";"Indica se o paciente possui alguma comorbidade cronica";"Nominal"
"FATIGUE";"Indica se o paciente apresenta sinais de cansasso frequentes";"Nominal"
"ALLERGY";"Indica se o paciente possui alergia a fumaça do cigarro";"Nominal"
"WHEEZING";"Indica se o paciente apresenta um chiado no pulmão";"Nominal"
"ALCOHOL CONSUMING";"Indica se o paciente consome alcool frequente";"Nominal"
"COUGHING";"Indica se o paciente apresenta tosse frequente";"Nominal"
"SHORTNESS OF BREATH";"Indica se o paciente possui respiração curta";"Nominal"
"SWALLOWING DIFFICULTY";"Indica se o paciente posui dificuldade para ingerir alimentos sólidos ou liquidos";"Nominal"
"CHEST PAIN";"Indica se o paciente apresenta dor no peito";"Nominal"
"LUNG_CANCER";"Indica se o paciente possui cancêr de pulmão";"Nominal"